rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
74,frame_0095.jpg,38.0,0.5755,0.7441,0.5714,0.16,6,4,False,False
75,frame_0124.jpg,49.6,0.5708,0.6124,0.4286,0.68,8,3,False,False
76,frame_0008.jpg,3.2,0.5681,0.6504,0.1429,1.0,4,1,False,False
77,frame_0299.jpg,119.6,0.5618,0.5728,0.5714,0.52,8,4,False,False
78,frame_0318.jpg,127.2,0.5593,0.6798,0.5714,0.24,7,4,False,False
79,frame_0177.jpg,70.8,0.5581,0.6076,0.7143,0.2,7,5,False,False
80,frame_0202.jpg,80.8,0.5573,0.5317,0.5714,0.6,6,4,False,False
81,frame_0195.jpg,78.0,0.5569,0.643,0.5714,0.32,6,4,False,False
82,frame_0077.jpg,30.8,0.5567,0.6756,0.1429,0.88,9,1,False,False
83,frame_0327.jpg,130.8,0.5538,0.6631,0.7143,0.04,11,5,False,False
84,frame_0192.jpg,76.8,0.5518,0.595,0.7143,0.2,7,5,False,False
85,frame_0071.jpg,28.4,0.5465,0.5215,0.2857,1.0,5,2,False,False
86,frame_0173.jpg,69.2,0.5454,0.6897,0.4286,0.36,7,3,False,False
87,frame_0018.jpg,7.2,0.5448,0.5181,0.2857,1.0,5,2,False,False
88,frame_0303.jpg,121.2,0.5441,0.6013,0.5714,0.36,7,4,False,False
89,frame_0188.jpg,75.2,0.5438,0.8144,0.4286,0.04,10,3,False,False
90,frame_0294.jpg,117.6,0.5437,0.6279,0.2857,0.72,6,2,False,False
91,frame_0296.jpg,118.4,0.5435,0.6595,0.2857,0.64,6,2,False,False
92,frame_0306.jpg,122.4,0.5433,0.7334,0.4286,0.24,8,3,False,False
93,frame_0168.jpg,67.2,0.5428,0.6901,0.2857,0.56,6,2,False,False
94,frame_0200.jpg,80.0,0.5415,0.7035,0.2857,0.52,2,2,False,False
95,frame_0304.jpg,121.6,0.541,0.7826,0.2857,0.32,6,2,False,False
96,frame_0082.jpg,32.8,0.5402,0.5513,0.4286,0.68,6,3,False,False
97,frame_0329.jpg,131.6,0.5397,0.7046,0.5714,0.08,11,4,False,False
98,frame_0184.jpg,73.6,0.5396,0.79,0.4286,0.08,7,3,False,False
99,frame_0385.jpg,154.0,0.5392,0.7413,0.4286,0.2,10,3,False,False
100,frame_0376.jpg,150.4,0.5387,0.842,0.2857,0.16,8,2,False,False
101,frame_0186.jpg,74.4,0.5364,0.5426,0.8571,0.04,11,6,False,False
102,frame_0322.jpg,128.8,0.5328,0.573,0.7143,0.16,8,5,False,False
103,frame_0285.jpg,114.0,0.5291,0.6467,0.2857,0.6,6,2,False,False
104,frame_0286.jpg,114.4,0.5289,0.5446,0.4286,0.64,8,3,False,False
105,frame_0097.jpg,38.8,0.5277,0.6806,0.5714,0.08,8,4,False,False
106,frame_0175.jpg,70.0,0.5251,0.5954,0.5714,0.28,6,4,False,False
107,frame_0293.jpg,117.2,0.5251,0.6604,0.1429,0.76,8,1,False,False
108,frame_0389.jpg,155.6,0.523,0.7409,0.4286,0.12,8,3,False,False
109,frame_0284.jpg,113.6,0.5228,0.6502,0.2857,0.56,5,2,False,False
110,frame_0298.jpg,119.2,0.5174,0.6394,0.2857,0.56,5,2,False,False
111,frame_0382.jpg,152.8,0.5153,0.5701,0.7143,0.08,7,5,False,False
112,frame_0321.jpg,128.4,0.5124,0.5163,0.7143,0.2,8,5,False,False
113,frame_0316.jpg,126.4,0.5099,0.5272,0.7143,0.16,7,5,False,False
114,frame_0333.jpg,133.2,0.5099,0.6449,0.5714,0.08,10,4,False,False
115,frame_0081.jpg,32.4,0.5081,0.5567,0.2857,0.72,6,2,False,False
116,frame_0374.jpg,149.6,0.5071,0.5913,0.5714,0.2,11,4,False,False
117,frame_0174.jpg,69.6,0.5065,0.7135,0.2857,0.32,6,2,False,False
118,frame_0384.jpg,153.6,0.5038,0.7721,0.2857,0.16,10,2,False,False
119,frame_0028.jpg,11.2,0.503,0.4345,0.2857,1.0,6,2,False,False
120,frame_0309.jpg,123.6,0.5015,0.6121,0.5714,0.12,8,4,False,False
121,frame_0114.jpg,45.6,0.5009,0.5469,0.5714,0.28,7,4,False,False
122,frame_0010.jpg,4.0,0.4994,0.4273,0.2857,1.0,4,2,False,False
123,frame_0171.jpg,68.4,0.4992,0.5652,0.4286,0.44,6,3,False,False
124,frame_0129.jpg,51.6,0.4991,0.5605,0.1429,0.88,5,1,False,False
